"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.365042917E-1,-2.259825897E1,4.863375425E-1,-5.054885864E1
9.465182917E-1,-2.269776154E1,4.069280624E-1,-5.063375854E1
9.565312917E-1,-2.273358917E1,5.538526773E-1,-5.090603638E1
9.665452917E-1,-2.273667145E1,4.831577539E-1,-5.076354980E1
9.765592917E-1,-2.257563019E1,5.881127119E-1,-5.038519287E1
9.865732917E-1,-2.264408112E1,5.348259211E-1,-5.075280762E1
9.965862917E-1,-2.264383698E1,5.515346527E-1,-5.067630005E1
1.006600292E0,-2.259427643E1,7.235558033E-1,-5.070257568E1
1.016614292E0,-2.250209808E1,7.260671854E-1,-5.038046265E1
1.026627292E0,-2.283463287E1,6.623011827E-1,-5.019607544E1
1.036641292E0,-2.284857941E1,5.471314192E-1,-5.023678589E1
1.046655292E0,-2.296137238E1,3.177887201E-1,-5.052236938E1
1.056669292E0,-2.279117584E1,4.351619482E-1,-5.070864868E1
1.066682292E0,-2.267899323E1,4.985427856E-1,-5.055523682E1
1.076696708E0,-2.262660980E1,6.999375820E-1,-5.019064331E1
1.086710708E0,-2.249990082E1,6.149009466E-1,-5.058685303E1
1.096723708E0,-2.258261871E1,6.549830437E-1,-5.058230591E1
1.106737708E0,-2.274626923E1,5.199854374E-1,-5.035217285E1
1.116751708E0,-2.276160431E1,5.411434174E-1,-5.047286987E1
1.126765708E0,-2.269199371E1,3.874205351E-1,-5.052612305E1
1.136778708E0,-2.260346222E1,3.381351233E-1,-5.089273071E1
1.146792708E0,-2.289144135E1,6.105217934E-1,-5.067538452E1
1.156806708E0,-2.260208893E1,5.724780560E-1,-5.071536255E1
1.166819708E0,-2.241083527E1,5.821069479E-1,-5.072674561E1
1.176833708E0,-2.273026276E1,5.014601946E-1,-5.076690674E1
1.186847708E0,-2.257372284E1,3.907099962E-1,-5.032879639E1
1.196861708E0,-2.267346954E1,8.155761957E-1,-5.038354492E1
1.206874708E0,-2.258852386E1,6.694155931E-1,-4.998156738E1
1.216888708E0,-2.266767120E1,5.613057613E-1,-5.024783325E1
1.226902708E0,-2.265544891E1,2.599947453E-1,-5.060156250E1
1.236915708E0,-2.257714081E1,4.816220999E-1,-5.062875366E1
1.246929708E0,-2.271880341E1,5.896514654E-1,-5.029672241E1
1.256943708E0,-2.270133209E1,4.604564905E-1,-5.049212646E1
1.266956708E0,-2.266194916E1,6.735316515E-1,-5.064346313E1
1.276970708E0,-2.278800201E1,7.432351112E-1,-5.061038208E1
1.286984708E0,-2.258060455E1,6.312191486E-1,-5.071459961E1
1.296998708E0,-2.296082306E1,7.291622162E-1,-5.053405762E1
1.307011708E0,-2.292398834E1,7.330662012E-1,-5.011441040E1
1.317025708E0,-2.272176361E1,5.792576075E-1,-5.065792847E1
1.327039708E0,-2.265938568E1,5.280047655E-1,-5.053063965E1
1.337052708E0,-2.268878937E1,5.908557177E-1,-5.065765381E1
1.347066708E0,-2.268930817E1,5.338709354E-1,-5.071951294E1
1.357080708E0,-2.273212433E1,3.235116005E-1,-5.057504272E1
1.367094708E0,-2.274649811E1,3.445943594E-1,-5.085061646E1
1.377107708E0,-2.272319794E1,4.868699312E-1,-5.059219360E1
1.387121708E0,-2.269036102E1,2.903548479E-1,-5.081555176E1
1.397135708E0,-2.264278412E1,3.209122419E-1,-5.083575439E1
1.407148708E0,-2.266748810E1,4.289119244E-1,-5.082421875E1
1.417162708E0,-2.263216400E1,4.354598522E-1,-5.069497681E1
1.427176708E0,-2.261823273E1,4.483485222E-1,-5.093972778E1
1.437190708E0,-2.269898224E1,4.224562645E-1,-5.090451050E1
1.447203708E0,-2.281174469E1,6.080600023E-1,-5.051007080E1
1.457217708E0,-2.266107941E1,4.509046078E-1,-5.039190674E1
1.467231708E0,-2.244876862E1,4.295259714E-1,-5.045108032E1
1.477244708E0,-2.265549469E1,3.271296024E-1,-4.993124390E1
1.487258708E0,-2.258927155E1,5.802960396E-1,-4.994387817E1
1.497272708E0,-2.253044891E1,5.690277815E-1,-5.032067871E1
1.507286708E0,-2.269120026E1,5.269379616E-1,-5.028652954E1
1.517299708E0,-2.290859222E1,6.166412830E-1,-5.024368286E1
1.527313708E0,-2.280641937E1,4.785956144E-1,-5.047009277E1
1.537327708E0,-2.279534149E1,6.011469364E-1,-5.006680298E1
1.547340708E0,-2.292646027E1,7.159204483E-1,-5.034448242E1
1.557354708E0,-2.283170319E1,6.369044781E-1,-5.036752319E1
1.567368708E0,-2.272745514E1,8.671319485E-1,-5.015069580E1
1.577382708E0,-2.273668671E1,4.826669693E-1,-5.018280029E1
1.587395708E0,-2.279647064E1,4.562278986E-1,-5.017214966E1
1.597409708E0,-2.289475250E1,4.914392233E-1,-5.068359375E1
1.607423708E0,-2.276015472E1,6.959509850E-1,-5.056735229E1
1.617436708E0,-2.274562836E1,3.408555984E-1,-5.052288818E1
1.627450708E0,-2.271703339E1,1.094988585E-1,-5.063287354E1
1.637464708E0,-2.254158783E1,4.390515089E-1,-5.057644653E1
1.647478708E0,-2.249291229E1,5.457043648E-1,-5.079870605E1
1.657491708E0,-2.251984406E1,4.063696861E-1,-5.051437378E1
1.667505708E0,-2.254660797E1,5.910373926E-1,-5.039675903E1
1.677519708E0,-2.260013580E1,4.661670923E-1,-5.072317505E1
1.687532708E0,-2.252544403E1,4.819329977E-1,-5.046945190E1
1.697546708E0,-2.275754547E1,5.127058029E-1,-5.016217041E1
1.707560708E0,-2.291352081E1,3.010810614E-1,-5.018627930E1
1.717574708E0,-2.259949493E1,1.755729914E-1,-5.044329834E1
1.727587708E0,-2.233415985E1,3.685313463E-1,-5.034707642E1
