"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.862982917E-1,5.305223167E-4,1.031819265E-4,-1.695788465E-3
7.963122917E-1,-1.599043608E-4,-1.279225573E-3,-8.578058332E-4
8.063262917E-1,3.094212152E-3,-5.607046187E-4,1.830122434E-3
8.163392917E-1,-5.015078932E-5,1.842438243E-3,1.249283552E-3
8.263532917E-1,-3.795886878E-3,3.105879296E-4,1.176046440E-3
8.363672917E-1,2.343178727E-3,-3.537484445E-4,-1.157044899E-3
8.463812917E-1,-9.133350104E-4,-2.006168943E-4,4.698801786E-4
8.563942917E-1,-7.626721635E-4,5.932957865E-4,-2.386095002E-3
8.664082917E-1,-3.039408475E-3,-3.342831042E-4,3.071599640E-4
8.764222917E-1,-4.588514101E-3,-1.986850984E-4,2.231572289E-3
8.864352917E-1,3.236867487E-4,-3.949601669E-4,5.282144994E-4
8.964492917E-1,6.893398240E-4,-6.355040241E-4,-1.106587704E-3
9.064632917E-1,1.122327521E-4,-1.733525191E-3,5.176742561E-4
9.164772917E-1,2.563106827E-3,3.927387297E-5,-1.564854756E-4
9.264902917E-1,6.773229688E-4,3.442058805E-4,-6.552953273E-4
9.365042917E-1,-8.688317612E-4,1.090927981E-3,-5.088187754E-5
9.465182917E-1,1.230804250E-3,1.634238288E-5,3.206292167E-4
9.565312917E-1,-7.895585150E-4,1.306966878E-4,-1.150288153E-3
9.665452917E-1,4.456155002E-4,-2.570594661E-4,-1.856912859E-4
9.765592917E-1,1.336623915E-3,-1.146665076E-3,-2.872073092E-4
9.865732917E-1,2.366468310E-3,-2.594892168E-3,3.759199753E-4
9.965862917E-1,1.347311772E-3,3.477390856E-4,5.653384142E-4
1.006600292E0,1.208295114E-3,9.152586572E-4,3.060187679E-3
1.016614292E0,8.651623502E-4,4.182539415E-4,-6.336276419E-4
1.026627292E0,-2.453402616E-3,9.341083933E-4,5.323039368E-4
1.036641292E0,-2.284508664E-3,3.605480306E-4,-2.474925481E-3
1.046655292E0,-7.220320404E-4,1.751783304E-3,-1.503670588E-3
1.056669292E0,2.196765505E-3,-8.835964836E-4,-2.350860741E-3
1.066682292E0,1.783557236E-4,-4.119505174E-4,-2.853129990E-4
1.076696708E0,-5.148192868E-4,1.456325874E-3,-1.413617749E-3
1.086710708E0,-1.076480374E-3,-6.470389199E-4,-1.197369304E-3
1.096723708E0,8.791731670E-4,-8.238989394E-4,-1.471894793E-3
1.106737708E0,1.575856470E-3,1.993725309E-3,1.209375681E-3
1.116751708E0,-4.371339455E-4,-7.770278025E-4,7.259077393E-4
1.126765708E0,-9.198766202E-5,1.076798653E-3,-9.754160419E-5
1.136778708E0,3.154976293E-4,-5.800812505E-5,-1.009193715E-3
1.146792708E0,3.029806539E-4,1.497184858E-4,8.022882976E-4
1.156806708E0,-3.848969936E-5,6.095212884E-4,-2.691112459E-4
1.166819708E0,-9.056143463E-4,-2.006120048E-4,-5.729780532E-4
1.176833708E0,1.628248021E-3,-2.239434980E-3,-1.415788662E-3
1.186847708E0,2.103019506E-5,-6.197004113E-4,-8.195065893E-4
1.196861708E0,-7.691299543E-4,-7.661744021E-4,-5.585169420E-4
1.206874708E0,-2.698043361E-3,6.147827953E-4,4.241624847E-4
1.216888708E0,6.906893104E-4,-6.079974119E-4,-4.551708698E-4
1.226902708E0,2.013214864E-3,-6.710947491E-5,2.060919069E-4
1.236915708E0,-9.978138842E-4,-8.573480882E-4,4.351511598E-5
1.246929708E0,-4.040729254E-5,-6.815793458E-4,-1.448121388E-3
1.256943708E0,6.126752123E-4,9.543446358E-4,-7.592258044E-4
1.266956708E0,1.121872105E-3,-5.037363153E-4,-7.917163894E-4
1.276970708E0,-2.384451218E-3,-1.430680742E-3,6.686290726E-5
1.286984708E0,9.010899812E-4,-1.241338905E-4,-1.465253532E-3
1.296998708E0,2.023423091E-3,-1.900067786E-3,-1.643616706E-4
1.307011708E0,-1.379031222E-3,5.263383500E-4,1.922491239E-3
1.317025708E0,2.070581540E-4,2.386728302E-4,5.765180103E-4
1.327039708E0,2.009328455E-4,-2.073749900E-3,-6.900816225E-4
