"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.691814166452676E9,"2023-08-12 00:22:46.453 UTC-04:00"
"PAUSE",4.998691808333388E1,1.691814216438803E9,"2023-08-12 00:23:36.439 UTC-04:00"
